fighter_name,fighter_url,slpm,str_acc,sapm,str_def,td_avg,td_acc,td_def,sub_avg,win_streak_last3,wins_by_ko_last5,wins_by_sub_last5,avg_fight_duration,first_round_finish_rate,decision_rate,ko_round1_pct,ko_round2_pct,ko_round3_pct,sub_round1_pct,sub_round2_pct,sub_round3_pct,scraped_at,source,elo_rating,peak_elo
Shamil Gaziev,http://www.ufcstats.com/fighter-details/6747ccd6d1acd266,2.62,47.0,3.97,45.0,0.93,30.0,83.0,0.3,0.0,2.0,0.0,8.02,50.0,16.67,50.0,50.0,0.0,100.0,0.0,0.0,2026-03-29T05:50:00.838616,merged,1620.31,1670.88
Kelvin Gastelum,http://www.ufcstats.com/fighter-details/8c0580d4fff106c1,3.67,42.0,3.53,57.0,1.01,34.0,60.0,0.1,1.0,0.0,0.0,13.72,20.0,64.0,33.33,33.33,33.33,100.0,0.0,0.0,2026-03-29T05:50:16.869589,merged,1602.25,1795.81
Melissa Gatto,http://www.ufcstats.com/fighter-details/a4a80dd7336ffd59,3.78,49.0,2.84,54.0,1.47,28.0,63.0,0.5,1.0,3.0,0.0,12.27,0.0,40.0,0.0,33.33,66.67,,,,2026-03-29T05:50:14.507837,merged,1557.78,1608.51
Ariel Gandulla,http://www.ufcstats.com/fighter-details/41904fc4d3f5bffc,1.95,23.0,2.07,72.0,1.88,66.0,0.0,0.0,0.0,0.0,0.0,7.97,50.0,50.0,,,,,,,2026-03-29T04:36:50.101521,merged,1493.74,1547.89
Shamil Gamzatov,http://www.ufcstats.com/fighter-details/0d980975001ae3d8,5.35,48.0,3.46,51.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,9.27,50.0,50.0,,,,,,,2026-03-29T05:50:39.581303,merged,1474.26,1543.83
Paul Georgieff,http://www.ufcstats.com/fighter-details/2f1700b3a4a09bc7,2.55,40.0,2.34,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,100.0,0.0,,,,,,,2026-03-29T05:50:03.515733,merged,1428.24,1428.24
Ciryl Gane,http://www.ufcstats.com/fighter-details/787bb1f087ccff8a,5.29,61.0,2.33,60.0,0.68,25.0,47.0,0.6,0.0,2.0,0.0,13.5,23.08,38.46,0.0,50.0,50.0,50.0,0.0,50.0,2026-03-29T04:36:46.101301,merged,1735.0,1798.56
Junye Gao,http://www.ufcstats.com/fighter-details/8b27d25ce0221d60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,2026-03-29T05:50:47.900898,merged,1493.64,1493.64
Willie Gates,http://www.ufcstats.com/fighter-details/6ded9184b2284645,1.8,38.0,4.28,38.0,0.0,0.0,67.0,0.4,0.0,1.0,0.0,9.3,25.0,0.0,100.0,0.0,0.0,,,,2026-03-29T04:36:56.751129,merged,1418.03,1521.22
Fernie Garcia,http://www.ufcstats.com/fighter-details/9e92e1ca498d7244,2.04,34.0,3.79,48.0,0.28,50.0,50.0,0.6,0.0,1.0,0.0,10.87,20.0,60.0,100.0,0.0,0.0,,,,2026-03-29T05:50:30.012757,merged,1398.26,1563.02
