fighter1_url,fighter2_url,height_diff_cm,reach_diff_cm,leg_reach_diff_cm,age_diff,elo_diff,peak_elo_diff,slpm_diff,sapm_diff,str_acc_diff,str_def_diff,td_avg_diff,td_acc_diff,td_def_diff,sub_avg_diff,opponent_quality_diff,win_streak_diff,days_since_fight_diff,total_fights_diff,fighter1_style,fighter2_style,style_matchup_advantage,calculated_at,is_stale
http://www.ufcstats.com/fighter-details/6747ccd6d1acd266,http://www.ufcstats.com/fighter-details/787bb1f087ccff8a,0.0,-6.3,7.6,0.0,-97.24,-83.92,-2.67,1.64,-14.0,-15.0,0.25,5.0,36.0,-0.3,194.32,0.0,-28.0,1.0,balanced,striker,0,2026-02-05T20:11:45.265122,False
http://www.ufcstats.com/fighter-details/6747ccd6d1acd266,http://www.ufcstats.com/fighter-details/6a311920edd73c85,7.6,8.9,,3.0,82.98,114.99,-0.59,-5.67,5.0,-2.0,0.93,30.0,83.0,0.3,,0.0,-14.0,8.0,balanced,balanced,0,2026-02-05T20:11:45.265122,False
http://www.ufcstats.com/fighter-details/6747ccd6d1acd266,http://www.ufcstats.com/fighter-details/1d688fa375d9431c,40.6,1.3,,10.0,111.39,118.12,-5.07,-2.18,-18.0,-10.0,-4.84,-36.0,83.0,0.3,,0.0,-802.0,7.0,balanced,wrestler,0,2026-02-05T20:11:45.265122,False
http://www.ufcstats.com/fighter-details/6747ccd6d1acd266,http://www.ufcstats.com/fighter-details/4acf03bdec2025d7,40.6,,,-1.0,29.43,61.44,2.62,3.97,47.0,45.0,0.93,30.0,83.0,0.3,,0.0,,3.0,balanced,balanced,0,2026-02-05T20:11:45.265122,False
http://www.ufcstats.com/fighter-details/6747ccd6d1acd266,http://www.ufcstats.com/fighter-details/8667caa0451d245b,-2.5,-11.4,-5.1,2.0,17.93,-4.99,-2.34,-0.61,1.0,-6.0,0.43,-15.0,3.0,0.1,207.25,0.0,21.0,-5.0,balanced,balanced,0,2026-02-05T20:11:45.265122,False
http://www.ufcstats.com/fighter-details/6747ccd6d1acd266,http://www.ufcstats.com/fighter-details/b5da8f7d05e85a55,0.0,-1.3,5.1,-1.0,98.41,36.13,-1.93,-0.91,-1.0,4.0,-0.05,-3.0,37.0,0.1,,0.0,-623.0,-7.0,balanced,balanced,0,2026-02-05T20:11:45.266122,False
http://www.ufcstats.com/fighter-details/6747ccd6d1acd266,http://www.ufcstats.com/fighter-details/0d5cc0170c1a7e71,0.0,-1.3,5.1,5.0,-24.82,-23.14,-2.08,-0.16,-3.0,-13.0,-0.45,-16.0,33.0,0.1,250.15,0.0,-245.0,5.0,balanced,balanced,0,2026-02-05T20:11:45.266122,False
http://www.ufcstats.com/fighter-details/6747ccd6d1acd266,http://www.ufcstats.com/fighter-details/ba15006c804a8de0,-5.1,-6.3,-7.6,4.0,33.73,65.74,-1.65,1.77,-17.0,-16.0,0.93,30.0,83.0,0.3,214.49,0.0,21.0,10.0,balanced,balanced,0,2026-02-05T20:11:45.266122,False
http://www.ufcstats.com/fighter-details/6747ccd6d1acd266,http://www.ufcstats.com/fighter-details/f14cf73e51b29254,2.5,-14.0,0.0,2.0,-69.79,-76.65,-1.81,0.35,3.0,-10.0,0.45,5.0,8.0,0.3,87.2,0.0,-91.0,-7.0,balanced,balanced,0,2026-02-05T20:11:45.266122,False
http://www.ufcstats.com/fighter-details/6747ccd6d1acd266,http://www.ufcstats.com/fighter-details/764d39074a352e33,7.6,11.4,12.7,5.0,57.92,56.27,-0.76,1.02,-11.0,-10.0,-2.78,-20.0,-4.0,-0.2,138.76,0.0,-42.0,2.0,balanced,wrestler,0,2026-02-05T20:11:45.266122,False
