fighter_url,fights_analyzed,elite_wins,elite_losses,good_wins,good_losses,average_wins,average_losses,below_average_wins,below_average_losses,recent_elite_wins,avg_opponent_elo,avg_opponent_elo_at_fight_time,recent_avg_opponent_elo,elite_win_rate,quality_win_index,schedule_strength_rank,schedule_strength_percentile,last_calculated
http://www.ufcstats.com/fighter-details/1c86754617d9813a,3,0,0,1,1,0,1,0,0,0,1580.06,1580.06,1580.06,,-2,116,95.11,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/2e19380f34871c6a,2,0,0,1,0,1,0,0,0,0,1546.87,1546.87,1546.87,,5,372,84.33,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/e6147d5ab3685899,1,0,0,0,0,0,1,0,0,0,1474.41,1474.41,1474.41,,-2,1883,20.68,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/1a98c9dbb7fc3959,2,0,0,0,1,0,1,0,0,0,1510.12,1510.12,1510.12,,-5,1079,54.55,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/82e7929bf6c2b689,15,0,0,3,3,4,5,0,0,0,1532.43,1532.43,1558.33,,-2,570,75.99,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/902ab9197b83d0db,7,0,1,1,0,3,1,1,0,0,1538.99,1538.99,1528.94,0.0,4,467,80.33,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/e78f601035d677f2,1,0,0,0,0,0,1,0,0,0,1545.83,1545.83,1545.83,,-2,378,84.08,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/afc2a7ce0c763bd5,2,0,0,0,0,0,1,0,1,0,1460.13,1460.13,1460.13,,-3,2128,10.36,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/5f6f049d54728e88,4,0,0,1,2,1,0,0,0,0,1561.3,1561.3,1561.3,,-1,223,90.61,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/8a304bfd6bf04a57,5,0,0,0,0,3,0,1,1,0,1476.73,1476.73,1484.87,,6,1830,22.91,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/4b47e71384a9522f,7,0,0,0,2,2,3,0,0,0,1524.23,1524.23,1517.66,,-8,761,67.94,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/96924b0019b3aff1,3,0,0,0,1,0,1,1,0,0,1491.39,1491.39,1491.39,,-4,1510,36.39,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/b51841e7c594090d,1,0,0,0,0,0,1,0,0,0,1506.79,1506.79,1506.79,,-2,1142,51.9,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/a112097ad877a48f,1,0,0,0,0,1,0,0,0,0,1472.5,1472.5,1472.5,,2,1922,19.04,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/03688dc3c3af3ac1,2,0,0,0,0,0,0,2,0,0,1431.36,1431.36,1431.36,,2,2306,2.86,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/826475cc758e60e6,2,0,0,0,1,0,1,0,0,0,1560.49,1560.49,1560.49,,-5,236,90.06,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/e0c6edcb5b5d0b90,1,0,0,0,0,1,0,0,0,0,1506.52,1506.52,1506.52,,2,1153,51.43,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/e70de1859b7ee78e,2,0,0,0,0,1,1,0,0,0,1482.68,1482.68,1482.68,,0,1685,29.02,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/e8fb8e53bc2e29d6,2,0,0,0,0,1,1,0,0,0,1499.1,1499.1,1499.1,,0,1328,44.06,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/1497e735d9f2560a,2,0,1,0,0,1,0,0,0,0,1557.2,1557.2,1557.2,0.0,-2,255,89.26,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/641ca2c2ed91b93c,1,0,0,0,0,0,1,0,0,0,1475.63,1475.63,1475.63,,-2,1855,21.86,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/d3f89fa685bd8420,2,0,0,0,0,2,0,0,0,0,1470.46,1470.46,1470.46,,4,1963,17.31,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/d3b5ad3b15a64a18,1,0,0,0,0,0,1,0,0,0,1531.2,1531.2,1531.2,,-2,596,74.89,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/27b388f0aab49780,4,0,0,0,1,2,0,1,0,0,1498.62,1498.62,1498.62,,2,1343,43.43,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/af65aa688d13eedf,10,0,0,1,4,4,0,1,0,0,1526.3,1526.3,1532.2,,0,725,69.46,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/322a56923b396b4d,2,0,0,0,1,0,1,0,0,0,1520.48,1520.48,1520.48,,-5,854,64.03,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/3753714927f18437,3,0,0,0,0,0,3,0,0,0,1497.47,1497.47,1497.47,,-6,1372,42.21,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/813550bc53b15fb0,6,0,0,0,1,3,2,0,0,0,1491.13,1491.13,1467.04,,-1,1517,36.1,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/d247691a6c0e9034,27,1,0,2,6,10,5,1,2,1,1522.6,1522.6,1545.05,100.0,1,801,66.26,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/c6da1c24fe473418,1,0,0,0,0,0,1,0,0,0,1539.41,1539.41,1539.41,,-2,459,80.67,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/749685d24e2cac50,2,0,0,0,0,2,0,0,0,0,1484.62,1484.62,1484.62,,4,1645,30.71,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/db5dc7cb80d7d418,1,0,0,0,1,0,0,0,0,0,1649.88,1649.88,1649.88,,-3,15,99.37,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/1e7483dbff40b84b,2,0,0,0,0,1,1,0,0,0,1456.51,1456.51,1456.51,,0,2181,8.13,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/1efa064872f089d0,4,0,0,0,1,1,2,0,0,0,1534.9,1534.9,1534.9,,-5,533,77.55,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/68f6e96c5fa6e044,1,0,0,0,0,1,0,0,0,0,1451.9,1451.9,1451.9,,2,2215,6.7,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/94527830000ab715,20,0,0,0,5,11,1,2,1,0,1503.44,1503.44,1485.14,,6,1219,48.65,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/b12fc8a41e82d3a2,5,0,0,0,0,2,1,1,1,0,1452.25,1452.25,1452.25,,2,2212,6.82,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/003d82fa384ca1d0,3,0,0,0,1,1,1,0,0,0,1521.61,1521.61,1521.61,,-3,824,65.29,2026-02-05T20:10:47.475393
http://www.ufcstats.com/fighter-details/5d7bdab5e03e3216,16,0,0,0,2,5,4,4,1,0,1497.94,1497.94,1494.77,,-1,1360,42.71,2026-02-05T20:10:47.475393
