fighter_url,pre_ufc_wins,pre_ufc_losses,pre_ufc_draws,pre_ufc_total_fights,age_at_estimate,estimated_initial_elo,elo_estimation_method,record_adjustment,win_rate_bonus,career_efficiency_adj,age_factor_adj,recency_adj,total_adjustment,org_quality_tier,primary_org,data_confidence
http://www.ufcstats.com/fighter-details/b301292b1bc92bdb,6,3,0,9,,1501.46,enhanced,1.5,0,,,,1.5,,,medium
http://www.ufcstats.com/fighter-details/72b7c071910990b1,5,1,0,6,44.0,1503.01,enhanced,13.0,25,-20.0,-15.0,,3.0,,,medium
http://www.ufcstats.com/fighter-details/53d471e9bf5f2fc8,6,0,0,6,34.0,1569.19,enhanced,29.2,60,-20.0,0.0,,69.2,,,medium
http://www.ufcstats.com/fighter-details/9c5f7d5c6d084b35,10,2,0,12,39.0,1514.0,enhanced,14.0,25,-10.0,-15.0,,14.0,,,medium
http://www.ufcstats.com/fighter-details/30b577b112bef42d,3,1,0,4,33.0,1486.93,enhanced,6.9,15,-20.0,0.0,-15.0,-13.1,,,medium
http://www.ufcstats.com/fighter-details/d26a0988c9dc9886,11,3,1,15,34.0,1509.63,enhanced,11.6,8,-10.0,0.0,,9.6,,,medium
http://www.ufcstats.com/fighter-details/5a4913108a3b9190,16,6,0,22,32.0,1521.58,enhanced,3.6,8,0.0,10.0,,21.6,,,medium
http://www.ufcstats.com/fighter-details/9ab9912e0f8fa6d6,3,1,0,4,37.0,1481.93,enhanced,6.9,15,-20.0,-5.0,-15.0,-18.1,,,medium
http://www.ufcstats.com/fighter-details/800feaa25700a85f,16,2,0,18,43.0,1530.53,enhanced,20.5,35,-10.0,-15.0,,30.5,,,medium
http://www.ufcstats.com/fighter-details/b8dc5fbf8338adc5,6,0,0,6,,1589.19,enhanced,29.2,60,,,,89.2,,,medium
http://www.ufcstats.com/fighter-details/86cb6f5b1ca98dc0,10,2,0,12,35.0,1529.0,enhanced,14.0,25,-10.0,0.0,,29.0,,,medium
http://www.ufcstats.com/fighter-details/4acf03bdec2025d7,11,2,0,13,36.0,1525.3,enhanced,15.3,25,-10.0,-5.0,,25.3,,,medium
http://www.ufcstats.com/fighter-details/a307a10414d0ad00,7,0,1,8,42.0,1533.27,enhanced,33.3,35,-20.0,-15.0,,33.3,,,medium
http://www.ufcstats.com/fighter-details/ff2ec83f44000f78,5,0,0,5,32.0,1576.88,enhanced,26.9,60,-20.0,10.0,,76.9,,,medium
http://www.ufcstats.com/fighter-details/4d3b08ab127c7585,6,2,0,8,33.0,1512.22,enhanced,7.2,15,-10.0,0.0,,12.2,,,medium
http://www.ufcstats.com/fighter-details/1aba18b5f15d4956,6,0,0,6,41.0,1554.19,enhanced,29.2,60,-20.0,-15.0,,54.2,,,medium
http://www.ufcstats.com/fighter-details/d3d1ff3f3dfa0931,31,5,0,36,43.0,1536.15,enhanced,16.2,35,0.0,-15.0,,36.2,,,medium
http://www.ufcstats.com/fighter-details/7beecbe0a08cf002,21,3,6,30,23.0,1542.48,enhanced,24.5,8,10.0,0.0,,42.5,,,medium
http://www.ufcstats.com/fighter-details/4c27ca8c8481f79a,18,6,3,27,48.0,1469.41,enhanced,9.4,0,-10.0,-15.0,-15.0,-30.6,,,medium
http://www.ufcstats.com/fighter-details/8fc30d8cebb17116,9,0,0,9,35.0,1584.54,enhanced,34.5,60,-10.0,0.0,,84.5,,,medium
http://www.ufcstats.com/fighter-details/03b1b79b34eaf217,7,1,1,9,35.0,1509.41,enhanced,19.4,15,-10.0,0.0,-15.0,9.4,,,medium
http://www.ufcstats.com/fighter-details/2abc414136504554,11,1,0,12,31.0,1568.41,enhanced,23.4,45,-10.0,10.0,,68.4,,,medium
http://www.ufcstats.com/fighter-details/d238217e0f8ea8e1,14,2,0,16,38.0,1538.65,enhanced,18.6,35,-10.0,-5.0,,38.6,,,medium
http://www.ufcstats.com/fighter-details/86597694317e5e1b,15,9,1,25,,1497.62,enhanced,-2.4,0,,,,-2.4,,,medium
http://www.ufcstats.com/fighter-details/83b8fe74224dd642,6,0,0,6,29.0,1589.19,enhanced,29.2,60,-10.0,10.0,,89.2,,,medium
http://www.ufcstats.com/fighter-details/9756095cb76b67c3,24,5,1,30,40.0,1524.53,enhanced,14.5,25,0.0,-15.0,,24.5,,,medium
http://www.ufcstats.com/fighter-details/5c020ee6ab450870,7,2,1,10,32.0,1519.3,enhanced,11.3,8,-10.0,10.0,,19.3,,,medium
http://www.ufcstats.com/fighter-details/6071d786f6187810,5,0,0,5,51.0,1551.88,enhanced,26.9,60,-20.0,-15.0,,51.9,,,medium
http://www.ufcstats.com/fighter-details/1f4b1d7d12601c5f,15,0,1,16,37.0,1573.67,enhanced,43.7,45,-10.0,-5.0,,73.7,,,medium
http://www.ufcstats.com/fighter-details/e17770faae3ca54c,10,1,0,11,41.0,1542.11,enhanced,22.1,45,-10.0,-15.0,,42.1,,,medium
http://www.ufcstats.com/fighter-details/3aeb69b4a13ff0e8,6,1,0,7,,1550.33,enhanced,15.3,35,,,,50.3,,,medium
http://www.ufcstats.com/fighter-details/90063913321e7670,5,0,0,5,,1586.88,enhanced,26.9,60,,,,86.9,,,medium
http://www.ufcstats.com/fighter-details/b9c3ee342eb72100,2,3,0,5,,1488.75,enhanced,-11.2,0,,,,-11.2,,,medium
http://www.ufcstats.com/fighter-details/12630a4aa0894da8,38,9,0,47,33.0,1538.9,enhanced,8.9,25,5.0,0.0,,38.9,,,medium
http://www.ufcstats.com/fighter-details/fe30c5f5cc3e028b,4,1,0,5,25.0,1535.28,enhanced,10.3,25,-10.0,10.0,,35.3,,,medium
http://www.ufcstats.com/fighter-details/618643d0d5c0631d,7,0,0,7,28.0,1591.19,enhanced,31.2,60,-10.0,10.0,,91.2,,,medium
http://www.ufcstats.com/fighter-details/2dbc60c52de126d8,13,4,1,18,31.0,1542.48,enhanced,9.5,8,0.0,10.0,15.0,42.5,,,medium
http://www.ufcstats.com/fighter-details/9561eb5f0d63ffcc,5,0,0,5,32.0,1576.88,enhanced,26.9,60,-20.0,10.0,,76.9,,,medium
http://www.ufcstats.com/fighter-details/27ab7257bf6a3b65,7,1,0,8,34.0,1542.33,enhanced,17.3,35,-10.0,0.0,,42.3,,,medium
http://www.ufcstats.com/fighter-details/dc1bfd47c3b21ad3,12,7,0,19,,1496.89,enhanced,-3.1,0,,,,-3.1,,,medium
http://www.ufcstats.com/fighter-details/7333d6e0f6428acb,15,7,0,22,,1500.0,enhanced,0.0,0,,,,0.0,,,medium
http://www.ufcstats.com/fighter-details/5159e6ee100c717e,2,0,0,2,33.0,1556.48,enhanced,16.5,60,-20.0,0.0,,56.5,,,medium
http://www.ufcstats.com/fighter-details/1c0ffc63d8ec8f45,15,3,0,18,,1538.86,enhanced,13.9,25,,,,38.9,,,medium
http://www.ufcstats.com/fighter-details/33fb306278dbb3e5,9,2,0,11,36.0,1522.57,enhanced,12.6,25,-10.0,-5.0,0.0,22.6,,,medium
http://www.ufcstats.com/fighter-details/44f46b0592ca0814,9,2,0,11,35.0,1527.57,enhanced,12.6,25,-10.0,0.0,,27.6,,,medium
http://www.ufcstats.com/fighter-details/ff175a137b395e2b,16,4,0,20,41.0,1510.31,enhanced,10.3,25,-10.0,-15.0,,10.3,,,medium
http://www.ufcstats.com/fighter-details/8d04923f2db59b7f,0,4,0,4,46.0,1417.81,enhanced,-32.2,0,-20.0,-15.0,-15.0,-82.2,,,medium
http://www.ufcstats.com/fighter-details/8276f28f1ad087de,7,0,0,7,,1591.19,enhanced,31.2,60,,,,91.2,,,medium
http://www.ufcstats.com/fighter-details/96706c75a2b14164,7,3,0,10,,1511.47,enhanced,3.5,8,,,,11.5,,,medium
http://www.ufcstats.com/fighter-details/63d071997c75e3fd,6,0,0,6,29.0,1589.19,enhanced,29.2,60,-10.0,10.0,,89.2,,,medium
http://www.ufcstats.com/fighter-details/e6904a03a66e711d,4,1,0,5,36.0,1510.28,enhanced,10.3,25,-20.0,-5.0,,10.3,,,medium
http://www.ufcstats.com/fighter-details/f37822d5b3e47517,6,0,0,6,36.0,1564.19,enhanced,29.2,60,-20.0,-5.0,,64.2,,,medium
http://www.ufcstats.com/fighter-details/5e1062e066c601e6,14,8,1,23,31.0,1508.76,enhanced,-1.2,0,0.0,10.0,,8.8,,,medium
http://www.ufcstats.com/fighter-details/3c85e04b08a05751,7,1,0,8,37.0,1537.33,enhanced,17.3,35,-10.0,-5.0,,37.3,,,medium
http://www.ufcstats.com/fighter-details/5b43d68174b6e2ab,16,1,0,17,28.0,1583.64,enhanced,28.6,45,0.0,10.0,,83.6,,,medium
http://www.ufcstats.com/fighter-details/968764372c49eab6,13,3,0,16,,1536.86,enhanced,11.9,25,,,,36.9,,,medium
http://www.ufcstats.com/fighter-details/4a99978a0366bb29,11,4,0,15,,1513.08,enhanced,5.1,8,,,,13.1,,,medium
http://www.ufcstats.com/fighter-details/f43907e75f8d9baa,13,3,0,16,50.0,1511.86,enhanced,11.9,25,-10.0,-15.0,,11.9,,,medium
http://www.ufcstats.com/fighter-details/edc9eb3051f444fa,7,1,0,8,42.0,1517.33,enhanced,17.3,35,-20.0,-15.0,,17.3,,,medium
http://www.ufcstats.com/fighter-details/274ca7b799b402cc,8,0,0,8,38.0,1567.96,enhanced,33.0,60,-20.0,-5.0,,68.0,,,medium
http://www.ufcstats.com/fighter-details/39792c2f42c9f527,17,6,1,24,41.0,1489.52,enhanced,6.5,8,-10.0,-15.0,,-10.5,,,medium
