event_name,event_date,fighter1,fighter1_best,fighter1_avg,fighter2,fighter2_best,fighter2_avg
UFC,,Geoff Neal,1.465,1.465,Uros Medic,2.8,2.8
UFC,,Anthony Hernandez,1.364,1.364,Sean Strickland,3.25,3.25
UFC,,Dan Ige,2.98,2.98,Melquizael Costa,1.417,1.417
UFC,,Ante Delija,1.847,1.847,Serghei Spivac,2.0,2.0
UFC,,Jacobe Smith,1.312,1.312,Josiah Harrell,3.6,3.6
UFC,,Michel Pereira,1.595,1.595,Zach Reese,2.42,2.42
UFC,,Carlos Leal Miranda,1.704,1.704,Chidi Njokuani,2.2,2.2
UFC,,Alibi Idiris,1.704,1.704,Ode Osbourne,2.2,2.2
UFC,,Alden Coria,1.256,1.256,Luis Gurule,4.1,4.1
UFC Houston,,Joselyne Edwards,1.333,1.333,Nora Cornolle,3.45,3.45
UFC Houston,,Punahele Soriano,1.704,1.704,Ramiz Brahimaj,2.2,2.2
UFC Houston,,Jean-Paul Lebosnoyani,1.488,1.488,Phil Rowe,2.72,2.72
UFC Houston,,Jordan Leavitt,4.2,4.2,Yadier Del Valle,1.247,1.247
UFC Houston,,Carli Judice,1.118,1.118,Juliana Miller,6.9,6.9
UFC BJJ5,,Mikey Musumeci,,,Shay Montague,,
UFC BJJ5,,Ronaldo Junior,,,Tarik Hopstock,,
UFC BJJ5,,Andy Murasaki,,,Andy Varela,,
UFC BJJ5,,Landon Elmore,,,Rerisson Gabriel,,
UFC BJJ5,,Rebeca Lima,,,Taylor Hishaw,,
UFC BJJ5,,Carol Brunacio,,,Mona Bailey,,
UFC BJJ5,,Carlos Oliveira,,,Jalen Fonacier,,
UFC BJJ5,,Jonnatas Gracie,,,Lucas Yan,,
UFC BJJ5,,Nicholas Maglicic,,,Nicholas Meregali,,
UFC Vegas 113,,Mario Bautista,1.794,1.794,Vinicius Oliveira,2.08,2.08
UFC Vegas 113,,Amir Albazi,4.0,4.0,Kyoji Horiguchi,1.267,1.267
UFC Vegas 113,,Jailton Almeida,1.602,1.602,Rizvan Kuniev,2.4,2.4
UFC Vegas 113,,Marc-Andre Barriault,4.8,4.8,Michal Oleksiejczluk,1.204,1.204
UFC Vegas 113,,Farid Basharat,1.333,1.333,Jean Matsumoto,3.45,3.45
UFC Vegas 113,,Dustin Jacoby,1.685,1.685,Julius Walker,2.24,2.24
UFC Vegas 113,,Alex Morono,7.1,7.1,Daniil Donchenko,1.111,1.111
UFC Vegas 113,,Niko Price,3.15,3.15,Nikolay Veretennikov,1.385,1.385
UFC Vegas 113,,Bruna Brasil,2.28,2.28,Ketlen Souza,1.658,1.658
UFC: The Ultimate Fighter Nations Finale,,Michael Bisping,,,Tim Kennedy,,
UFC: The Ultimate Fighter Nations Finale,,Kyle Noke,,,Patrick Cote,,
UFC: The Ultimate Fighter Nations Finale,,Elias Theodorou,,,Sheldon Westcott,,
UFC: The Ultimate Fighter Nations Finale,,Chad Laprise,,,Olivier Aubin-Mercier,,
UFC: The Ultimate Fighter Nations Finale,,Akira Corassani,,,Dustin Poirier,,
UFC: The Ultimate Fighter Nations Finale,,K.J. Noons,,,Sam Stout,,
UFC: The Ultimate Fighter Nations Finale,,Leslie Smith,,,Sarah Kaufman,,
UFC: The Ultimate Fighter Nations Finale,,Ryan Jimmo,,,Sean O'Connell,,
UFC: The Ultimate Fighter Nations Finale,,Dustin Kimura,,,George Roop,,
UFC: The Ultimate Fighter Nations Finale,,Mark Bocek,,,Mike de La Torre,,
UFC: The Ultimate Fighter Nations Finale,,Nordine Taleb,,,Vik Grujic,,
UFC: The Ultimate Fighter Nations Finale,,Chris Indich,,,Richard Walsh,,
UFC: The Ultimate Fighter Nations Finale,,Mitch Gagnon,,,Tim Gorman,,
UFC: The Ultimate Fighter Brazil 3 Finale,,Fabio Maldonado,,,Stipe Miocic,,
UFC: The Ultimate Fighter Brazil 3 Finale,,Antonio Carlos Junior,,,Vitor Miranda,,
UFC: The Ultimate Fighter Brazil 3 Finale,,Marcio Alexandre Junior,,,Warlley Alves,,
UFC: The Ultimate Fighter Brazil 3 Finale,,Alexander Yakovlev,,,Demian Maia,,
UFC: The Ultimate Fighter Brazil 3 Finale,,Robert Peralta,,,Rony Jason,,
UFC: The Ultimate Fighter Brazil 3 Finale,,Rashid Magomedov,,,Rodrigo Damm,,
UFC: The Ultimate Fighter Brazil 3 Finale,,Elias Silverio,,,Ernest Chavez,,
UFC: The Ultimate Fighter Brazil 3 Finale,,Gasan Umalatov,,,Paulo Thiago,,
UFC: The Ultimate Fighter Brazil 3 Finale,,Kevin Souza,,,Mark Eddiva,,
UFC: The Ultimate Fighter Brazil 3 Finale,,Marcos Rogerio de Lima,,,Richardson Moreira,,
UFC: The Ultimate Fighter Brazil 3 Finale,,Ricardo Abreu,,,Wagner Silva,,
UFC: The Ultimate Fighter Brazil 3 Finale,,Matt Hobar,,,Pedro Munhoz,,
UFC: The Ultimate Fighter 19 Finale,,B.J. Penn,,,Frankie Edgar,,
UFC: The Ultimate Fighter 19 Finale,,Corey Anderson,,,Matt van Buren,,
UFC: The Ultimate Fighter 19 Finale,,Dhiego Lima,,,Eddie Gordon,,
UFC: The Ultimate Fighter 19 Finale,,Derrick Lewis,,,Guto Inocente,,
UFC: The Ultimate Fighter 19 Finale,,Dustin Ortiz,,,Justin Scoggins,,
UFC: The Ultimate Fighter 19 Finale,,Jesse Ronson,,,Kevin Lee,,
UFC: The Ultimate Fighter 19 Finale,,Jumabieke Tuerxun,,,Leandro Issa,,
UFC: The Ultimate Fighter 19 Finale,,Adriano Martins,,,Juan Manuel Puig,,
UFC: The Ultimate Fighter 19 Finale,,Dan Spohn,,,Patrick Walsh,,
UFC: The Ultimate Fighter 19 Finale,,Alexis Dufresne,,,Sarah Moras,,
UFC: The Ultimate Fighter 19 Finale,,Keith Berish,,,Robert Drysdale,,
UFC: The Ultimate Fighter 20 Finale,,Carla Esparza,,,Rose Namajunas,,
UFC: The Ultimate Fighter 20 Finale,,Charles Oliveira,,,Jeremy Stephens,,
UFC: The Ultimate Fighter 20 Finale,,Daron Cruickshank,,,K.J. Noons,,
UFC: The Ultimate Fighter 20 Finale,,Joe Proctor,,,Yancy Medeiros,,
UFC: The Ultimate Fighter 20 Finale,,Jessica Penne,,,Randa Markos,,
UFC: The Ultimate Fighter 20 Finale,,Felice Herrig,,,Lisa Ellis,,
UFC: The Ultimate Fighter 20 Finale,,Angela Magana,,,Tecia Torres,,
UFC: The Ultimate Fighter 20 Finale,,Joanne Calderwood,,,Seo Hee Ham,,
UFC: The Ultimate Fighter 20 Finale,,Bec Rawlings,,,Heather Clark,,
UFC: The Ultimate Fighter 20 Finale,,Aisling Daly,,,Alex Chambers,,
UFC: The Ultimate Fighter 20 Finale,,Angela Hill,,,Emily Kagan,,
UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,,Jake Ellenberger,,,Stephen Thompson,,
UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,,Hayder Hassan,,,Kamaru Usman,,
UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,,Mike Graves,,,Vicente Luque,,
UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,,Cezar Ferreira,,,Jorge Masvidal,,
UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,,Angela Magana,,,Michelle Waterson,,
UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,,Maximo Blanco,,,Mike de La Torre,,
UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,,Caio Magalhaes,,,Josh Samman,,
UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,,Jerrod Sanders,,,Russell Doane,,
UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,,Dan Miller,,,Trevor Smith,,
UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,,Dominic Waters,,,George Sullivan,,
UFC: The Ultimate Fighter 21 Finale: Ellenberger vs. Thompson,,Darrell Montague,,,Willie Gates,,
UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,,Chad Mendes,,,Frankie Edgar,,
UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,,Artem Lobov,,,Ryan Hall,,
UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,,Edson Barboza,,,Tony Ferguson,,
UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,,Evan Dunham,,,Joe Lauzon,,
UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,,Mike Pierce,,,Ryan Laflare,,
UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,,Jason Knight,,,Tatsuya Kawajiri,,
UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,,Gabriel Gonzaga,,,Konstantin Erokhin,,
UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,,Geane Herrera,,,Joby Sanchez,,
UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,,Julian Erosa,,,Marcin Wrzosek,,
UFC: The Ultimate Fighter 22 Finale: Edgar vs. Mendes,,Abner Lloveras,,,Chris Gruetzemacher,,
UFC: The Ultimate Fighter 23 Finale: Team Joanna vs. Team Claudia,,Claudia Gadelha,,,Joanna Jedrzejczyk,,
UFC: The Ultimate Fighter 23 Finale: Team Joanna vs. Team Claudia,,Andrew Sanchez,,,Khalil Rountree,,
UFC: The Ultimate Fighter 23 Finale: Team Joanna vs. Team Claudia,,Amanda Bobby Cooper,,,Tatiana Suarez,,
UFC: The Ultimate Fighter 23 Finale: Team Joanna vs. Team Claudia,,Ross Pearson,,,Will Brooks,,
UFC: The Ultimate Fighter 23 Finale: Team Joanna vs. Team Claudia,,Doo Ho Choi,,,Thiago Tavares,,
